STT,Family Column,Family Column Type,Base Level,Top Level,Family Rafter,Family Type Rafter,Level Rafter,Length,Plate,Path,Gird_Ver,Gird_Hor,Slope,Gird_Ver,Gird_Hor,Length From Gird,Plate Column,Move Left,Move Right,Move Up,Move Bottom
11,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
12,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
13,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
14,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
15,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
16,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
17,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
18,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
19,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
20,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
21,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
22,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
23,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
24,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
25,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
26,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
27,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
28,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
29,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
30,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
31,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
32,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
33,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
34,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
35,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
36,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
37,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
38,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
39,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
40,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
41,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
42,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
43,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
44,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
45,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
